OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
372,28078,1158.0,14.0,66079,Huntersville,,175.24478276003,1870251820.14679,316647.648839996
373,28079,714.0,10.0,39813,Indian Trail,,179.338407052973,1221176124.08392,283660.370334182
374,28080,142.0,2.0,8157,Iron Station,,174.083609170038,1095921164.38501,240845.709042299
375,28081,640.0,9.0,28249,Kannapolis,,226.556692272293,862858421.935425,200259.108957382
376,28083,659.0,16.0,25877,Kannapolis,,254.666305986011,582493569.448059,145983.725103448
377,28086,822.0,25.0,26988,Kings Mountain,,304.579813250333,2467878462.36133,329807.139806484
378,28088,72.0,0.0,3059,Landis,,235.371036286368,72787169.9580688,52885.3256566675
379,28090,166.0,5.0,8506,Lawndale,,195.156360216318,2661358061.4715,458218.963524002
380,28091,52.0,0.0,2353,Lilesville,,220.994475138122,2694411423.45477,313074.926269122
381,28092,1073.0,8.0,40052,Lincolnton,,267.90172775392,3216596915.74634,535483.341451103
382,28097,148.0,0.0,6124,Locust,,241.672109732201,836579136.406799,181830.474266294
383,28098,72.0,1.0,4010,Lowell,,179.551122194514,99103128.4535522,49283.194148661
384,28101,15.0,0.0,465,Mc Adenville,,322.58064516129,12210373.4969482,19058.3264759027
385,28103,273.0,1.0,11346,Marshville,,240.613432046536,4253866560.83563,449440.107851782
386,28104,597.0,6.0,32469,Matthews,,183.867689180449,824578845.587585,325979.692599077
387,28105,1010.0,40.0,45346,Matthews,,222.731883738367,668165195.784729,278013.840820393
388,28107,176.0,4.0,8210,Midland,,214.372716199756,1388640520.38739,250943.513182056
389,28110,1535.0,26.0,55536,Monroe,,276.39729184673,3676478383.48267,422255.233862207
390,28112,906.0,11.0,28060,Monroe,,322.87954383464,3713382117.46545,318461.97727687
391,28114,185.0,2.0,9034,Mooresboro,,204.781934912553,1900066101.23077,346437.871140422
392,28115,619.0,4.0,41536,Mooresville,,149.027349768875,2057262512.61176,327151.756863337
393,28117,799.0,2.0,47608,Mooresville,,167.828936313225,1555969690.69189,234425.757349855
394,28119,84.0,2.0,3034,Morven,,276.86222808174,1970357677.74512,298425.648226889
395,28120,626.0,6.0,24318,Mount Holly,,257.42248540176,1001654680.08618,272689.093586748
396,28124,139.0,4.0,7015,Mount Pleasant,,198.146828225232,1620148303.23315,301866.136666845
397,28125,43.0,0.0,2657,Mount Ulla,,161.836657884833,1169162879.13867,198953.955252748
398,28127,570.0,4.0,7631,New London,,746.953217140611,2159940152.89789,468250.659328753
399,28128,230.0,3.0,8098,Norwood,,284.020745863176,2054286113.35083,282114.674844027
400,28129,134.0,3.0,6031,Oakboro,,222.185375559609,1226619926.53345,219035.034364981
401,28133,61.0,0.0,2713,Peachland,,224.843346848507,2384968915.9574,421295.337069002
402,28134,342.0,2.0,11817,Pineville,,289.413556740289,248618254.324951,88085.4538299007
403,28135,130.0,0.0,5968,Polkton,,217.828418230563,2916374106.84241,475980.429437206
404,28137,98.0,0.0,3843,Richfield,,255.009107468124,1223676252.05975,291589.496037827
405,28138,215.0,5.0,11659,Rockwell,,184.406895960202,1278406256.12445,357387.534646104
406,28139,483.0,26.0,20134,Rutherfordton,,239.892718784146,5078697342.95056,674832.691106946
407,28144,804.0,33.0,25846,Salisbury,,311.073280198096,867982991.287292,279505.654446658
408,28146,672.0,12.0,30382,Salisbury,,221.183595549997,3012969418.7887,452196.720325258
409,28147,1093.0,46.0,26204,Salisbury,,417.111891314303,2146390330.37,312495.471896358
410,28150,891.0,34.0,29296,Shelby,,304.137083560896,3159764942.52783,579453.815714684
411,28152,663.0,7.0,26078,Shelby,,254.237288135593,2247420971.2251,304211.560780765
412,28159,79.0,0.0,3126,Spencer,,252.719129878439,51886096.1330566,42602.5220628392
413,28160,115.0,2.0,4015,Spindale,,286.425902864259,170326604.450989,70799.3749654705
414,28163,81.0,0.0,5814,Stanfield,,139.318885448916,970276414.142883,191731.821086023
415,28164,348.0,4.0,15447,Stanley,,225.28646339095,1144736813.58362,324856.854746788
416,28166,161.0,1.0,9868,Troutman,,163.153627888123,911716953.816406,217041.310552798
417,28167,40.0,1.0,2418,Union Mills,,165.425971877585,1934997992.23633,347927.953502144
418,28168,293.0,4.0,10437,Vale,,280.732011114305,2469130589.68384,340004.345415379
419,28170,332.0,6.0,12494,Wadesboro,,265.727549223627,5053183842.2157,655726.472285971
420,28173,1142.0,5.0,63837,Waxhaw,,178.893118410953,3045162637.21796,318858.064536165
421,28174,414.0,3.0,9287,Wingate,,445.784429848175,985461754.807983,246986.820118662
422,28202,504.0,1.0,16755,Charlotte,,300.805729632945,50452583.9099121,34485.9053855683
423,28203,553.0,2.0,19070,Charlotte,,289.984268484531,91001089.479126,54761.2733662689
424,28204,305.0,3.0,8738,Charlotte,,349.050125886931,48899100.5548096,40761.7265321132
425,28205,1763.0,30.0,51821,Charlotte,,340.209567549835,335820474.82135,104910.810677792
426,28206,411.0,2.0,15244,Charlotte,,269.614274468643,182577260.697876,71458.050216539
427,28207,223.0,1.0,9761,Charlotte,,228.460198750128,68333859.7921753,36157.3958026361
428,28208,1379.0,12.0,39944,Charlotte,,345.23332665732,595973347.5495,157267.598078636
429,28209,631.0,5.0,26012,Charlotte,,242.580347531908,157335764.525879,72359.4847682198
430,28210,1518.0,21.0,44704,Charlotte,,339.566929133858,342547124.476257,112745.958411282
431,28211,715.0,28.0,31253,Charlotte,,228.778037308418,292827786.05603,102838.759144167
432,28212,1921.0,21.0,42744,Charlotte,,449.419801609583,237710291.866211,96077.3791004252
433,28213,1809.0,18.0,45338,Charlotte,,399.003043804314,412614569.613403,162252.089416931
434,28214,1275.0,8.0,41208,Charlotte,,309.405940594059,965554836.030151,224926.880987091
435,28215,2385.0,20.0,60256,Charlotte,,395.811205523101,782010510.903748,222976.412140327
436,28216,1652.0,18.0,58744,Charlotte,,281.220209723546,857978895.941772,184761.316525275
437,28217,1567.0,6.0,30875,Charlotte,,507.53036437247,428067925.271423,132462.900799897
438,28223,7.0,0.0,2941,Charlotte,,23.8014280856851,16745950.1914673,34959.7943637767
439,28226,882.0,14.0,40227,Charlotte,,219.255723767619,430471271.22644,131097.087702525
440,28227,1812.0,16.0,57319,Charlotte,,316.12554301366,1173416755.00244,297066.255269002
441,28262,1106.0,14.0,43683,Charlotte,,253.187738937344,593648477.600464,159979.41236041
442,28269,1984.0,19.0,81464,Charlotte,,243.543160168909,840640266.840637,192155.045229048
443,28270,503.0,9.0,34753,Charlotte,,144.735706269962,345778417.622314,161555.486865571
444,28273,1417.0,19.0,40544,Charlotte,,349.496842936069,614626385.142517,192801.276498243
445,28277,1156.0,9.0,72020,Charlotte,,160.510969175229,675381884.726379,144850.675101077
446,28278,685.0,2.0,32539,Charlotte,,210.516610836227,902762098.137573,246465.469761239
447,28301,550.0,34.0,17717,Fayetteville,,310.436304114692,348717238.9104,130217.445212828
448,28303,482.0,4.0,34600,Fayetteville,,139.306358381503,540160738.043701,179304.154504403
449,28304,730.0,12.0,39651,Fayetteville,,184.106327709263,491742944.185852,186465.416198877
450,28305,102.0,2.0,5010,Fayetteville,,203.592814371257,69895111.336731,49443.8950343603
451,28306,803.0,5.0,42565,Fayetteville,,188.652648889933,2090603260.31519,562860.488861907
452,28307,148.0,0.0,15486,Fort Bragg,,95.5701924318739,174879596.356018,92732.9092032322
453,28308,1.0,0.0,737,Pope Army Airfield,,13.5685210312076,90374263.7665405,45243.1542141805
454,28310,295.0,0.0,8861,Fort Bragg,,332.919535041192,506286340.902344,200733.090413706
455,28311,710.0,5.0,36046,Fayetteville,,196.970537646341,1336136656.04889,240844.864072535
